combo_id,seed,iql_tau,iql_beta,iql_target_tau,iql_lr,iql_discount,ct_ckpt_path,iql_picked_step,iql_best_step_sim,rho_sim_predictor,top1_overlap_sim_predictor,top3_overlap_sim_predictor,top5_overlap_sim_predictor,iql_best_val_mae_uns,iql_best_val_mae_predictor,mae_uns_eval_split,eval_split
tau-0.5_beta-10.0_ttau-0.001_lr-5e-4_disc-0.95,101,0.5,10.0,0.001,5e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_101/coeff_4/ct_best_encoder.pt,1200,600,0.536154,0,0.666667,0.8,6.33586,6.33586,0.568440,false
tau-0.5_beta-10.0_ttau-0.001_lr-5e-4_disc-0.95,2020,0.5,10.0,0.001,5e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_2020/coeff_4/ct_best_encoder.pt,1600,400,0.853846,0,1,0.6,10.8493,10.8493,0.503065,false
tau-0.5_beta-10.0_ttau-0.001_lr-3e-4_disc-0.9,10,0.5,10.0,0.001,3e-4,0.9,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_10/coeff_4/ct_best_encoder.pt,1800,1800,0.978462,1,0.666667,0.8,1.07479,1.07479,0.307278,false
tau-0.5_beta-10.0_ttau-0.001_lr-3e-4_disc-0.9,101,0.5,10.0,0.001,3e-4,0.9,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_101/coeff_4/ct_best_encoder.pt,1200,600,0.771538,0,0,0.2,6.26476,6.26476,0.642705,false
tau-0.5_beta-10.0_ttau-0.001_lr-3e-4_disc-0.9,2020,0.5,10.0,0.001,3e-4,0.9,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_2020/coeff_4/ct_best_encoder.pt,200,400,0.47,0,0.666667,0.8,10.6224,10.6224,0.482349,false
tau-0.5_beta-10.0_ttau-0.001_lr-5e-4_disc-0.9,10,0.5,10.0,0.001,5e-4,0.9,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_10/coeff_4/ct_best_encoder.pt,800,400,0.966923,0,0.666667,0.8,1.08107,1.08107,0.301128,false
tau-0.5_beta-10.0_ttau-0.001_lr-5e-4_disc-0.9,101,0.5,10.0,0.001,5e-4,0.9,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_101/coeff_4/ct_best_encoder.pt,1000,800,0.720769,0,0.333333,1,6.51319,6.51319,0.438399,false
tau-0.5_beta-10.0_ttau-0.001_lr-5e-4_disc-0.9,2020,0.5,10.0,0.001,5e-4,0.9,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_2020/coeff_4/ct_best_encoder.pt,200,600,0.417692,0,0.666667,0.4,10.5414,10.5414,0.644879,false
tau-0.5_beta-3.0_ttau-0.001_lr-3e-4_disc-0.99,10,0.5,3.0,0.001,3e-4,0.99,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_10/coeff_4/ct_best_encoder.pt,800,600,0.526154,0,0.666667,0.6,1.2872,1.2872,0.347214,false
tau-0.5_beta-3.0_ttau-0.001_lr-3e-4_disc-0.99,101,0.5,3.0,0.001,3e-4,0.99,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_101/coeff_4/ct_best_encoder.pt,800,1000,0.954615,0,0.666667,0.8,6.05206,6.05206,0.391837,false
tau-0.5_beta-3.0_ttau-0.001_lr-3e-4_disc-0.99,2020,0.5,3.0,0.001,3e-4,0.99,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_2020/coeff_4/ct_best_encoder.pt,600,400,0.627692,0,0.333333,0.4,11.0641,11.0641,0.464219,false
tau-0.5_beta-3.0_ttau-0.001_lr-5e-4_disc-0.99,10,0.5,3.0,0.001,5e-4,0.99,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_10/coeff_4/ct_best_encoder.pt,600,400,0.344615,0,0,0.4,1.28916,1.28916,0.347426,false
tau-0.5_beta-3.0_ttau-0.001_lr-5e-4_disc-0.99,101,0.5,3.0,0.001,5e-4,0.99,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_101/coeff_4/ct_best_encoder.pt,600,600,0.915385,1,1,0.8,6.13144,6.13144,0.365325,false
tau-0.5_beta-3.0_ttau-0.001_lr-5e-4_disc-0.99,2020,0.5,3.0,0.001,5e-4,0.99,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_2020/coeff_4/ct_best_encoder.pt,3600,400,0.766154,0,0.333333,0.6,11.3213,11.3213,0.535567,false
tau-0.5_beta-5.0_ttau-0.001_lr-3e-4_disc-0.99,10,0.5,5.0,0.001,3e-4,0.99,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_10/coeff_4/ct_best_encoder.pt,1400,800,0.225385,0,0,0,1.28563,1.28563,0.374225,false
tau-0.5_beta-5.0_ttau-0.001_lr-3e-4_disc-0.99,101,0.5,5.0,0.001,3e-4,0.99,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_101/coeff_4/ct_best_encoder.pt,2200,1000,0.844615,0,0.333333,0.6,5.89087,5.89087,0.480511,false
tau-0.5_beta-5.0_ttau-0.001_lr-3e-4_disc-0.99,2020,0.5,5.0,0.001,3e-4,0.99,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_2020/coeff_4/ct_best_encoder.pt,600,2000,0.495385,0,0.333333,0.4,10.7611,10.7611,0.881108,false
tau-0.5_beta-5.0_ttau-0.001_lr-5e-4_disc-0.99,10,0.5,5.0,0.001,5e-4,0.99,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_10/coeff_4/ct_best_encoder.pt,3400,200,0.468462,0,0,0.4,1.29357,1.29357,0.389092,false
tau-0.5_beta-5.0_ttau-0.001_lr-5e-4_disc-0.99,101,0.5,5.0,0.001,5e-4,0.99,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_101/coeff_4/ct_best_encoder.pt,2200,600,0.866923,0,0.333333,0.6,5.88794,5.88794,0.546302,false
tau-0.5_beta-5.0_ttau-0.001_lr-5e-4_disc-0.99,2020,0.5,5.0,0.001,5e-4,0.99,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_2020/coeff_4/ct_best_encoder.pt,4200,400,0.899231,0,0.666667,0.8,11.2443,11.2443,0.474414,false
