combo_id,seed,iql_tau,iql_beta,iql_target_tau,iql_lr,iql_discount,ct_ckpt_path,iql_picked_step,iql_best_step_sim,rho_sim_predictor,top1_overlap_sim_predictor,top3_overlap_sim_predictor,top5_overlap_sim_predictor,iql_best_val_mae_uns,iql_best_val_mae_predictor,eval_tau,mae_uns_eval_split,eval_split
vcip_cancer_default,20,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_20/coeff_4/ct_best_encoder.pt,200,200,0.886154,1,0.666667,0.6,7.10507,7.10507,1,0.088608,false
vcip_cancer_default,20,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_20/coeff_4/ct_best_encoder.pt,200,200,0.886154,1,0.666667,0.6,7.10507,7.10507,2,0.163954,false
vcip_cancer_default,20,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_20/coeff_4/ct_best_encoder.pt,200,200,0.886154,1,0.666667,0.6,7.10507,7.10507,3,0.240593,false
vcip_cancer_default,20,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_20/coeff_4/ct_best_encoder.pt,200,200,0.886154,1,0.666667,0.6,7.10507,7.10507,4,0.300944,false
vcip_cancer_default,20,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_20/coeff_4/ct_best_encoder.pt,200,200,0.886154,1,0.666667,0.6,7.10507,7.10507,5,0.378392,false
vcip_cancer_default,20,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_20/coeff_4/ct_best_encoder.pt,200,200,0.886154,1,0.666667,0.6,7.10507,7.10507,6,0.438148,false
vcip_cancer_default,20,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_20/coeff_4/ct_best_encoder.pt,200,200,0.886154,1,0.666667,0.6,7.10507,7.10507,8,0.565675,false
vcip_cancer_default,20,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_20/coeff_4/ct_best_encoder.pt,200,200,0.886154,1,0.666667,0.6,7.10507,7.10507,10,0.716463,false
vcip_cancer_default,20,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_20/coeff_4/ct_best_encoder.pt,200,200,0.886154,1,0.666667,0.6,7.10507,7.10507,12,0.883126,false
vcip_cancer_default,202,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_202/coeff_4/ct_best_encoder.pt,400,400,0.95,1,1,0.8,9.3671,9.3671,1,0.101714,false
